date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:01	902/902	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Oct%202021%2008:37:00%20GMT	https://wish.hktechnical.com/u/211023V63SCK11756	/storage/emulated/0/HTTrack/Websites/Script/wish.hktechnical.com/u/211023V63SCK11756.0.delayed	(from )
14:07:02	902/902	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20Oct%202021%2008:37:01%20GMT	https://wish.hktechnical.com/robots.txt		(from )
14:07:03	36457/36457	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Oct%202021%2008:37:03%20GMT	https://wish.hktechnical.com/u/211023V63SCK11756/	/storage/emulated/0/HTTrack/Websites/Script/wish.hktechnical.com/u/211023V63SCK11756/index.html	(from )
14:07:05	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/Script/maxcdn.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://wish.hktechnical.com/u/211023V63SCK11756/)
14:07:06	52789/52789	---M-Z	200	added ('OK')	text/css	etag:%225eb03d2a-ce35%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	/storage/emulated/0/HTTrack/Websites/Script/cdnjs.cloudflare.com/ajax/libs/animate.css/3.5.2/animate.min.css	(from https://wish.hktechnical.com/u/211023V63SCK11756/)
14:07:08	6244/6244	---MCZ	200	added ('OK')	text/css	etag:W/%2222e5-5f76b97a-3a650b17ab0d2c2a;gz%22	https://web.hktechnical.com/Wish/template/M-HKTWSM/mystyle.css	/storage/emulated/0/HTTrack/Websites/Script/web.hktechnical.com/Wish/template/M-HKTWSM/mystyle.css	(from https://wish.hktechnical.com/u/211023V63SCK11756/)
14:07:09	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	/storage/emulated/0/HTTrack/Websites/Script/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://wish.hktechnical.com/u/211023V63SCK11756/)
14:07:10	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/Script/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://wish.hktechnical.com/u/211023V63SCK11756/)
14:07:10	406/406	---M-Z	200	added ('OK')	text/css	etag:W/%22196-nqNhcIQeOUwFsnTB3XkQywDVrrk%22	https://cdn.jsdelivr.net/npm/progressive-image.js/dist/progressive-image.css	/storage/emulated/0/HTTrack/Websites/Script/cdn.jsdelivr.net/npm/progressive-image.js/dist/progressive-image.css	(from https://wish.hktechnical.com/u/211023V63SCK11756/)
14:07:11	1406/1406	---M-Z	200	added ('OK')	application/javascript	etag:W/%2257e-VhxpmaPHq/bmBTW377lUBZ1EMRE%22	https://cdn.jsdelivr.net/npm/progressive-image.js/dist/progressive-image.js	/storage/emulated/0/HTTrack/Websites/Script/cdn.jsdelivr.net/npm/progressive-image.js/dist/progressive-image.js	(from https://wish.hktechnical.com/u/211023V63SCK11756/)
